Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
476,Luke Greenfield,$149.7,2,$74.8,Let's Be Cops,$82.4
477,Kathryn Bigelow,$147.9,3,$49.3,Zero Dark Thirty,$95.7
478,Melissa McCarthy,$147.8,2,$73.9,Tammy,$84.5
479,Jada Pinkett-Smith,$146.4,2,$73.2,Annie (2014),$85.9
480,Anthony Minghella,$146.4,8,$18.3,The Interpreter,$72.7
481,Leslie Dixon,$146.2,6,$24.4,Limitless,$79.2
482,Mike Drake,$144.9,6,$24.1,Nightmare on Elm Street,$63.1
483,Iain Canning,$143.9,5,$28.8,The King's Speech,$138.8
484,Jason Bateman,$142.3,2,$71.1,Identity Thief,$134.5
485,Jason Friedberg,$140.7,4,$35.2,Date Movie,$48.5
486,David Ayer,$140.7,4,$35.2,Fury,$85.8
487,Geoffrey Rush,$138.8,1,$138.8,The King's Speech,$138.8
488,Gareth Unwin,$138.8,1,$138.8,The King's Speech,$138.8
489,Tiffany Ward,$137.5,2,$68.8,Mr. Peabody & Sherman,$111.5
490,Raynold Gideon,$136.9,5,$27.4,Stand by Me,$52.3
491,Paul Thomas Anderson,$131.4,6,$21.9,There Will Be Blood,$40.2
492,Jack Black,$131.3,3,$43.8,Nacho Libre,$80.2
493,Neil Burger,$130.4,2,$65.2,Insurgent,$130.2
494,Dennis Lehane,$128.0,1,$128.0,Shutter Island,$128.0
495,Rob Marshall,$128.0,1,$128.0,Into the Woods,$128.0
496,Ram Bergman,$127.9,15,$8.5,Looper,$66.5
497,Scooter Braun,$126.5,4,$31.6,Justin Bieber,$73.0
498,Paul Taublieb,$125.0,1,$125.0,The Vow,$125.0
499,Ang Lee,$125.0,1,$125.0,Life of Pi,$125.0
500,Kevin Spacey,$124.3,3,$41.4,Captain Phillips,$107.1
501,James Wong,$121.2,4,$30.3,Final Destination 3,$54.1
502,Neil Gaiman,$120.9,2,$60.5,Beowulf,$82.3
503,Frank Miller,$120.3,2,$60.2,300: Rise of An Empire,$106.6
504,Tom Lassally,$120.2,6,$20.0,Edge of Tomorrow,$100.2
505,Marc Shaiman,$118.9,1,$118.9,Hairspray (2007),$118.9
506,Scott Waugh,$117.9,4,$29.5,Act of Valor,$70.0
507,Teddy Schwarzman,$117.6,5,$23.5,The Imitation Game,$91.1
508,David Zelon,$117.6,4,$29.4,Soul Surfer,$43.9
509,Robert Zemeckis,$117.0,3,$39.0,Real Steel,$85.5
510,Danny Strong,$116.6,1,$116.6,The Butler,$116.6
511,Kevin James,$116.3,2,$58.2,Paul Blart: Mall Cop 2,$71.0
512,Justin Zackham,$115.3,2,$57.6,The Bucket List,$93.5
513,Drew Dowdle,$113.9,4,$28.5,Devil,$33.6
514,Mark Boal,$112.7,2,$56.4,Zero Dark Thirty,$95.7
515,Cathy Schulman,$112.7,6,$18.8,Crash,$54.6
516,Glenn Williamson,$112.5,4,$28.1,The Omen (2006),$54.6
517,Paul Feig,$110.8,1,$110.8,Spy,$110.8
518,John Logan,$110.5,3,$36.8,Time Machine,$56.8
519,Tina Fey,$110.1,2,$55.1,Sisters,$87.0
520,Julia Roberts,$108.8,3,$36.3,Stepmom,$91.1
521,Davis Guggenheim,$107.1,5,$21.4,Training Day,$76.6
522,Travis Knight,$106.8,2,$53.4,ParaNorman,$56.0
523,John Ridley,$102.8,4,$25.7,12 Years a Slave,$56.7
524,Steven Zaillian,$102.5,1,$102.5,Girl with the Dragon Tattoo,$102.5
525,Johnny Knoxville,$102.0,1,$102.0,Bad Grandpa,$102.0
526,Tony Eldridge,$101.5,1,$101.5,The Equalizer,$101.5
527,Denzel Washington,$101.5,1,$101.5,The Equalizer,$101.5
528,Richard Wenk,$101.5,1,$101.5,The Equalizer,$101.5
